ranking,popularity,num_scoring_users,rank,num_episodes,rating,title,average_episode_duration,source,media_type,id,status,num_list_users,mean,nsfw,start_year
{'rank': 5928},4289,13690,5928,49,original,Dokidoki! Precure,1480,original,tv,16419,finished_airing,29091,6.69,white,2013.0
{'rank': 5929},1685,88120,5929,1,manga,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,3660,manga,movie,896,finished_airing,142477,6.69,white,1990.0
{'rank': 5930},4685,10046,5930,38,manga,Dragon Drive,1426,manga,tv,296,finished_airing,24091,6.69,white,2002.0
{'rank': 5931},6659,4588,5931,1,manga,Full Moon wo Sagashite: Kawaii Kawaii Daibouken,620,manga,special,1996,finished_airing,10069,6.69,white,2002.0
{'rank': 5932},10488,579,5932,1,original,Girls & Panzer Movie: Cinematic Concert - Fushou Akiyama Yukari no Sensha Kouza - Shoujun-hen,700,original,special,49153,finished_airing,2934,6.69,white,2017.0
{'rank': 5933},3963,14479,5933,13,light_novel,Hentai Ouji to Warawanai Neko.: Henneko BBS,30,light_novel,special,21541,finished_airing,34557,6.69,white,2013.0
{'rank': 5934},11185,223,5934,6,novel,Hibike! Euphonium 3: Extra Episodes,258,novel,special,58856,finished_airing,2387,6.69,white,2024.0
{'rank': 5935},14272,244,5935,40,original,Hua Jianghu: Bu Liang Ren III,1200,original,ona,39141,finished_airing,949,6.69,white,2018.0
{'rank': 5936},3536,21909,5936,26,game,Inazuma Eleven: Ares no Tenbin,1412,game,tv,33733,finished_airing,43571,6.69,white,2018.0
{'rank': 5937},5208,8901,5937,2,light_novel,86 Part 2 Recaps,1420,light_novel,tv_special,50475,finished_airing,18599,6.68,white,2021.0
{'rank': 5938},10595,1261,5938,6,game,Aikatsu on Parade! (ONA),750,game,ona,41555,finished_airing,2846,6.68,white,2020.0
{'rank': 5939},4622,10805,5939,1,light_novel,Arifureta Shokugyou de Sekai Saikyou: Prologue,456,light_novel,ona,46971,finished_airing,24964,6.68,gray,2020.0
{'rank': 5940},1207,111906,5940,12,manga,Asu no Yoichi!,1470,manga,tv,4999,finished_airing,211371,6.68,white,2009.0
{'rank': 5941},3428,19263,5941,6,manga,Bastard!! Ankoku no Hakaishin,1696,manga,ova,404,finished_airing,46021,6.68,white,1992.0
{'rank': 5942},9134,1735,5942,51,card_game,Battle Spirits: Burning Soul,1350,card_game,tv,27737,finished_airing,4536,6.68,white,2015.0
{'rank': 5943},7073,3895,5943,1,game,Biohazard: Death Island,5340,game,movie,54398,finished_airing,8718,6.68,white,2023.0
{'rank': 5944},2458,34757,5944,1,original,Black Fox,5400,original,movie,37498,finished_airing,83072,6.68,white,2019.0
{'rank': 5945},7171,3899,5945,25,manga,Bouken Ou Beet Excellion,1440,manga,tv,1123,finished_airing,8447,6.68,white,2005.0
{'rank': 5946},6227,5185,5946,52,card_game,Cardfight!! Vanguard G Next,1440,card_game,tv,34077,finished_airing,11765,6.68,white,2016.0
{'rank': 5947},6962,4760,5947,3,manga,Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Kimetsu no Utage Tokubetsu-hen,96,manga,special,48861,finished_airing,9026,6.68,white,2020.0
{'rank': 5948},3341,23456,5948,4,manga,Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen,154,manga,ona,47398,finished_airing,47839,6.68,white,2021.0
{'rank': 5949},9985,1286,5949,1,other,Cinnamon the Movie,2700,other,movie,5848,finished_airing,3432,6.68,white,2007.0
{'rank': 5950},3208,27702,5950,30,original,Digimon Xros Wars,1500,original,tv,8624,finished_airing,51811,6.68,white,2010.0
